,phrase,label,sentiment,subjectivity,language,count
Constitution,Constitution,MISC,,,fr,2
Culture,Culture,MISC,0.152,0.13999999999999999,fr,2
Culture en remplacement,Culture en remplacement,MISC,,,fr,2
Anthropic,Anthropic,MISC,0.04,0.4,fr,2
Guide suprême iranien,Guide suprême iranien,MISC,0.12523809523809523,0.15654761904761905,fr,2
L'Œil,L'Œil,MISC,,,fr,2
lEthera,lEthera,MISC,,,fr,2
com,com,MISC,,,fr,2
Premier Ministre,Premier Ministre,MISC,,,fr,2
Antiquité,Antiquité,MISC,,,fr,2
Franc,Franc,MISC,,,fr,2
Israël ,Israël ,MISC,0.15523809523809523,0.14166666666666666,fr,2
Les Clinton,Les Clinton,MISC,,,fr,2
INFO RADIO FRANCE,INFO RADIO FRANCE,MISC,,,fr,2
Disney+,Disney+,MISC,,,fr,2
ADAM BERRY,ADAM BERRY,MISC,,,fr,2
La grande vague,La grande vague,MISC,,,fr,2
Dossiers Epstein ,Dossiers Epstein ,MISC,,,fr,2
Direkt36,Direkt36,MISC,,,fr,2
guerre de Trump,guerre de Trump,MISC,,,fr,2
Américaine,Américaine,MISC,,,fr,2
DHS,DHS,MISC,,,fr,2
Armées,Armées,MISC,,,fr,2
Jeune garde lyonnaise,Jeune garde lyonnaise,MISC,,,fr,2
Une de vos hedbos,Une de vos hedbos,MISC,,,fr,2
Russe,Russe,MISC,0.025000000000000005,0.06666666666666667,fr,2
Marine,Marine,MISC,,,fr,2
prix Niépce 2025,prix Niépce 2025,MISC,,,fr,2
lOrganisation,lOrganisation,MISC,,,fr,2
NBC News,NBC News,MISC,,,fr,2
Etats-Unis ,Etats-Unis ,MISC,,,fr,2
State of Play,State of Play,MISC,,,fr,2
Premier ministre nationaliste,Premier ministre nationaliste,MISC,,,fr,2
The Economist,The Economist,MISC,,,fr,2
Loubavitch,Loubavitch,MISC,,,fr,2
République,République,MISC,0.0,0.0,fr,2
Parquet national financier,Parquet national financier,MISC,,,fr,2
NBA All-Star Game,NBA All-Star Game,MISC,,,fr,2
Proche et au Moyen,Proche et au Moyen,MISC,,,fr,2
LIran,LIran,MISC,,,fr,2
DZ Mafia,DZ Mafia,MISC,,,fr,2
Amazon,Amazon,MISC,,,fr,2
"SIPA
","SIPA
",MISC,0.20571428571428574,0.4690476190476191,fr,2
siège national de La France insoumise,siège national de La France insoumise,MISC,,,fr,2
Francis,Francis,MISC,,,fr,2
vi,vi,MISC,,,fr,2
DIRECT Mort,DIRECT Mort,MISC,,,fr,2
Etats-Unis »,Etats-Unis »,MISC,,,fr,2
OLIVIER CHASSIGNOLE,OLIVIER CHASSIGNOLE,MISC,,,fr,2
Hyatt,Hyatt,MISC,,,fr,2
Linux,Linux,MISC,,,fr,2
REMO CASILLI,REMO CASILLI,MISC,,,fr,2
CBS News,CBS News,MISC,,,fr,2
clan MAGA,clan MAGA,MISC,,,fr,2
"Google Actualités
Partager
 Sabonner","Google Actualités
Partager
 Sabonner",MISC,,,fr,2
Le Canard enchaîné,Le Canard enchaîné,MISC,,,fr,2
JEAN,JEAN,MISC,,,fr,2
Première ministre japonaise,Première ministre japonaise,MISC,,,fr,2
guerre au Proche,guerre au Proche,MISC,,,fr,2
MANDEL NGAN,MANDEL NGAN,MISC,,,fr,2
Berlinale,Berlinale,MISC,,,fr,2
Google Trends,Google Trends,MISC,,,fr,2
Guerre Pete Hegseth,Guerre Pete Hegseth,MISC,,,fr,2
YouTube,YouTube,MISC,,,fr,2
UN REGIME NOUVEAU,UN REGIME NOUVEAU,MISC,,,fr,1
The Pitt»,The Pitt»,MISC,,,fr,1
Vendredi 1,Vendredi 1,MISC,,,fr,1
"Lucie Tollon
Publié","Lucie Tollon
Publié",MISC,,,fr,1
Jeux olympiques 2028,Jeux olympiques 2028,MISC,,,fr,1
Cercles civiques numériques,Cercles civiques numériques,MISC,,,fr,1
Monsieur Musk,Monsieur Musk,MISC,,,fr,1
Parquet nation,Parquet nation,MISC,,,fr,1
BAHRAMI,BAHRAMI,MISC,,,fr,1
ANADOLU,ANADOLU,MISC,,,fr,1
Bible,Bible,MISC,,,fr,1
Premier ministre espagnol,Premier ministre espagnol,MISC,,,fr,1
DPK,DPK,MISC,,,fr,1
Epstein files : Jean,Epstein files : Jean,MISC,,,fr,1
Flagrant,Flagrant,MISC,,,fr,1
MANGIAPANE,MANGIAPANE,MISC,,,fr,1
paral,paral,MISC,,,fr,1
Donald Trump limoge Pam Bondi,Donald Trump limoge Pam Bondi,MISC,,,fr,1
laffaire Eps,laffaire Eps,MISC,,,fr,1
Andor »,Andor »,MISC,,,fr,1
La Dinum,La Dinum,MISC,,,fr,1
Le nouveau Guide suprême,Le nouveau Guide suprême,MISC,,,fr,1
GNU,GNU,MISC,,,fr,1
Dinum,Dinum,MISC,,,fr,1
États membres,États membres,MISC,,,fr,1
Today,Today,MISC,,,fr,1
Premier ministre de l’Espagne,Premier ministre de l’Espagne,MISC,,,fr,1
Don,Don,MISC,,,fr,1
"AFP
Tout sourire","AFP
Tout sourire",MISC,,,fr,1
… Trump,… Trump,MISC,,,fr,1
Invasion ou commandos,Invasion ou commandos,MISC,,,fr,1
The Joe Rogan Experience,The Joe Rogan Experience,MISC,,,fr,1
blanchime,blanchime,MISC,,,fr,1
XXIe siè,XXIe siè,MISC,,,fr,1
guerre d'Iran,guerre d'Iran,MISC,,,fr,1
Conservateur mais pragmatique,Conservateur mais pragmatique,MISC,,,fr,1
TrumpCela,TrumpCela,MISC,,,fr,1
Guerre en Iran : Toujours invisible,Guerre en Iran : Toujours invisible,MISC,,,fr,1
Soldat français tué,Soldat français tué,MISC,,,fr,1
Andrew,Andrew,MISC,0.018333333333333333,0.031481481481481485,fr,1
Fureur,Fureur,MISC,,,fr,1
Justice Voilà une nouvelle photo,Justice Voilà une nouvelle photo,MISC,,,fr,1
VIDEOS,VIDEOS,MISC,,,fr,1
Pas de,Pas de,MISC,,,fr,1
Bourse,Bourse,MISC,0.034999999999999996,0.1,fr,1
États-Unis ce sam,États-Unis ce sam,MISC,,,fr,1
Moyen-Orient «,Moyen-Orient «,MISC,,,fr,1
affaire E,affaire E,MISC,,,fr,1
Premier ministre de Hongrie na,Premier ministre de Hongrie na,MISC,,,fr,1
La Constitution,La Constitution,MISC,,,fr,1
Donald Trump vendredi,Donald Trump vendredi,MISC,,,fr,1
Trump Une nouvelle menace,Trump Une nouvelle menace,MISC,,,fr,1
Dès quil pianote,Dès quil pianote,MISC,,,fr,1
Titanic ,Titanic ,MISC,,,fr,1
REUTERS,REUTERS,MISC,,,fr,1
Mardi 17 mars,Mardi 17 mars,MISC,,,fr,1
Horizons pour le second tour des municipales,Horizons pour le second tour des municipales,MISC,,,fr,1
Horizons,Horizons,MISC,0.08181818181818182,0.10909090909090909,fr,1
Compte,Compte,MISC,,,fr,1
USS Princeton,USS Princeton,MISC,,,fr,1
Le Refuge »,Le Refuge »,MISC,,,fr,1
paix ,paix ,MISC,,,fr,1
Proche-Orient,Proche-Orient,MISC,,,fr,1
Lumières ,Lumières ,MISC,,,fr,1
La guerre improvisée,La guerre improvisée,MISC,,,fr,1
lissue dune,lissue dune,MISC,,,fr,1
Barrot « effaré »,Barrot « effaré »,MISC,,,fr,1
Think tanks,Think tanks,MISC,,,fr,1
Le ministre des Affaires étrangères Jean,Le ministre des Affaires étrangères Jean,MISC,,,fr,1
Première ministre japonaise à la Maison-Blanche,Première ministre japonaise à la Maison-Blanche,MISC,,,fr,1
Le Soir”,Le Soir”,MISC,,,fr,1
La victoire de la Russie et de la Chine,La victoire de la Russie et de la Chine,MISC,,,fr,1
Bérézina,Bérézina,MISC,,,fr,1
Garde des Sceaux,Garde des Sceaux,MISC,,,fr,1
Violences sexistes et sexuelles,Violences sexistes et sexuelles,MISC,,,fr,1
camp Trump,camp Trump,MISC,,,fr,1
camp Maga,camp Maga,MISC,,,fr,1
GNL,GNL,MISC,,,fr,1
Fureur épique,Fureur épique,MISC,,,fr,1
Suivez not,Suivez not,MISC,,,fr,1
Financial Time,Financial Time,MISC,,,fr,1
Congrès de ne pas,Congrès de ne pas,MISC,,,fr,1
Bras de fer,Bras de fer,MISC,,,fr,1
Classique mondial,Classique mondial,MISC,,,fr,1
KievSelon M. Zelensky,KievSelon M. Zelensky,MISC,,,fr,1
lAssociation française darbitrage,lAssociation française darbitrage,MISC,,,fr,1
Etats,Etats,MISC,0.005147058823529411,0.0058823529411764705,fr,1
Le post ressemble,Le post ressemble,MISC,,,fr,1
D,D,MISC,,,fr,1
Renee Good,Renee Good,MISC,,,fr,1
Un pas en avant,Un pas en avant,MISC,,,fr,1
Guerre en Iran : Replacez ces phrases,Guerre en Iran : Replacez ces phrases,MISC,,,fr,1
dom,dom,MISC,,,fr,1
fondateir C,fondateir C,MISC,,,fr,1
Guerre en Iran : Discussions,Guerre en Iran : Discussions,MISC,,,fr,1
"Donald Trump
","Donald Trump
",MISC,,,fr,1
Non,Non,MISC,,,fr,1
Premier ministre magyar,Premier ministre magyar,MISC,,,fr,1
Starmer,Starmer,MISC,,,fr,1
dos,dos,MISC,,,fr,1
suggestible Trump,suggestible Trump,MISC,,,fr,1
Vidéo,Vidéo,MISC,,,fr,1
régime de Téhéran,régime de Téhéran,MISC,,,fr,1
In Memoriam,In Memoriam,MISC,,,fr,1
Le ton,Le ton,MISC,,,fr,1
Le jeune homme,Le jeune homme,MISC,,,fr,1
Katherine,Katherine,MISC,,,fr,1
LAméricain,LAméricain,MISC,,,fr,1
garde Trump,garde Trump,MISC,,,fr,1
Wapi ,Wapi ,MISC,,,fr,1
DunaújvárosDunaújváros,DunaújvárosDunaújváros,MISC,,,fr,1
La Chute des Titans,La Chute des Titans,MISC,,,fr,1
adversaries,adversaries,MISC,,,fr,1
Do,Do,MISC,,,fr,1
Marines,Marines,MISC,,,fr,1
Blue Sparrow,Blue Sparrow,MISC,,,fr,1
CIA sest,CIA sest,MISC,,,fr,1
Euphoria ,Euphoria ,MISC,,,fr,1
Quand Donald Trump,Quand Donald Trump,MISC,,,fr,1
missiles Patriot,missiles Patriot,MISC,,,fr,1
ABC News,ABC News,MISC,,,fr,1
HVG,HVG,MISC,,,fr,1
Excel,Excel,MISC,,,fr,1
Héros à Budapest,Héros à Budapest,MISC,,,fr,1
fran,fran,MISC,,,fr,1
M1,M1,MISC,,,fr,1
Vous mavez,Vous mavez,MISC,,,fr,1
Lego,Lego,MISC,-0.198,0.25,fr,1
Le Premier Ministre,Le Premier Ministre,MISC,,,fr,1
Premier Ministre hongrois,Premier Ministre hongrois,MISC,,,fr,1
Hongr,Hongr,MISC,,,fr,1
Affaire Epstein,Affaire Epstein,MISC,,,fr,1
» et viagra,» et viagra,MISC,,,fr,1
Foreign Office,Foreign Office,MISC,,,fr,1
Vous mavez invité,Vous mavez invité,MISC,,,fr,1
Guerre en Ukraine,Guerre en Ukraine,MISC,,,fr,1
"civile""Les","civile""Les",MISC,,,fr,1
IRIS,IRIS,MISC,,,fr,1
Élections hongroises ,Élections hongroises ,MISC,,,fr,1
concours Eurovision de la chanson,concours Eurovision de la chanson,MISC,,,fr,1
Les « menaces » commerciales et « ,Les « menaces » commerciales et « ,MISC,,,fr,1
pop star,pop star,MISC,,,fr,1
dEurope,dEurope,MISC,,,fr,1
dEvropeïska,dEvropeïska,MISC,,,fr,1
Pravda,Pravda,MISC,,,fr,1
bataille culturelle »,bataille culturelle »,MISC,,,fr,1
Occidentaux,Occidentaux,MISC,,,fr,1
Premier ministre de la Hongrie,Premier ministre de la Hongrie,MISC,,,fr,1
Chappell,Chappell,MISC,,,fr,1
Poutine,Poutine,MISC,,,fr,1
"Google Actualités
Partager Sabonner","Google Actualités
Partager Sabonner",MISC,,,fr,1
Edito,Edito,MISC,,,fr,1
Vous avez raté les derniers événements sur la guerre en Ukraine ,Vous avez raté les derniers événements sur la guerre en Ukraine ,MISC,,,fr,1
guerre des Etats-Unis,guerre des Etats-Unis,MISC,,,fr,1
LUnion,LUnion,MISC,,,fr,1
lOuest,lOuest,MISC,,,fr,1
Tchèque Babis,Tchèque Babis,MISC,,,fr,1
Premiers ministres slovaque,Premiers ministres slovaque,MISC,,,fr,1
The Dog Stars,The Dog Stars,MISC,,,fr,1
PORTRAIT,PORTRAIT,MISC,,,fr,1
USS,USS,MISC,,,fr,1
Dossiers Epstein,Dossiers Epstein,MISC,,,fr,1
NDLR,NDLR,MISC,,,fr,1
Timoth,Timoth,MISC,,,fr,1
Le Premier ministre nationaliste hongrois,Le Premier ministre nationaliste hongrois,MISC,,,fr,1
Dona,Dona,MISC,,,fr,1
King keeps calm and carries on,King keeps calm and carries on,MISC,,,fr,1
Seconde Guerre mondiale,Seconde Guerre mondiale,MISC,,,fr,1
"Google Actualités
P","Google Actualités
P",MISC,,,fr,1
Audiovisuel,Audiovisuel,MISC,,,fr,1
Déclaration d’indépendance des Etats-Unis,Déclaration d’indépendance des Etats-Unis,MISC,,,fr,1
Déclaration dindépendance,Déclaration dindépendance,MISC,,,fr,1
Un Met,Un Met,MISC,,,fr,1
De nouveaux éléments,De nouveaux éléments,MISC,,,fr,1
gouvernement Trump,gouvernement Trump,MISC,,,fr,1
guerre secrète,guerre secrète,MISC,,,fr,1
Economie,Economie,MISC,,,fr,1
Unis Donald Trump,Unis Donald Trump,MISC,,,fr,1
Coupe du monde 2026,Coupe du monde 2026,MISC,,,fr,1
Bleu,Bleu,MISC,,,fr,1
Sleepy Joe”,Sleepy Joe”,MISC,,,fr,1
