keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Jair Bolsonaro',fr,Brasilien,#58e838,#58e848,3,0.255491627554
'Friedrich Merz',fr,Deutschland,#1818e8,#1818e8,3,0.254644416014
'Willy Brandt',fr,Deutschland,#1818e8,#1818e8,1,0.254272689006
'Markus Söder',fr,Deutschland,#1818e8,#1818e8,1,0.253983484564
'Paul Ronzheimer',fr,Deutschland,#1818e8,#1818e8,2,0.253622557034
'Finnegan Biden',fr,USA,#18e8e8,#18e8e8,1,0.250985012725
'Helge Schneider',fr,Deutschland,#1818e8,#1818e8,1,0.250665507544
'Bettina Jarasch',fr,Deutschland,#1818e8,#1818e8,1,0.250231229158
'George Washington',fr,USA,#18e8e8,#18e8e8,2,0.249608241513
'Anne Will',fr,Deutschland,#1818e8,#1818e8,1,0.248951565346
'Ulrich Reitz',fr,Deutschland,#1818e8,#1818e8,1,0.248413608419
'Patrick Mahomes',fr,unknown,#111111,#111111,1,0.247106755661
'Gérard Biard',fr,Frankreich,#e8e808,#e8e808,1,0.246832408218
'Jerome Powell',fr,USA,#18e8e8,#18e8e8,3,0.246311349945
'Ursula von der Leyen',fr,EU,#88cc44,#88cc44,1,0.245662945145
'Wolodimir Selenski',fr,Ukraine,#e818e8,#e818e8,1,0.245568263927
'König Charles III',fr,UK,#e838e8,#e838e8,1,0.245515969352
'Mark Rutte',fr,Niederlande,#ffbb33,#ffbb33,3,0.244773001247
'Robert Nozick',fr,USA,#18e8e8,#18e8e8,1,0.244728661107
'Prinz Louis',fr,UK,#e838e8,#e838e8,1,0.244329453500
'Gorbatschow',fr,unknown,#111111,#111111,1,0.244037921875
'Eriberto Gualinga',fr,unknown,#111111,#111111,1,0.244037921875
'Afida Turner',fr,Frankreich,#e8e808,#e8e808,1,0.243889550148
'Cyril Ramaphosa',fr,Südafrika,#ee4411,#ee4411,3,0.241920832267
'Buzz Aldrin',fr,USA,#18e8e8,#18e8e8,1,0.241406527147
'Kevin Kühnert',fr,Deutschland,#1818e8,#1818e8,1,0.241224347799
'Stefan Rahmstorf',fr,Deutschland,#1818e8,#1818e8,1,0.240538893344
'Melinda Gates',fr,USA,#18e8e8,#18e8e8,2,0.239445180794
'Papst Benedikt XVI',fr,Vatikan,#58b8e8,#58b8e8,2,0.238271904683
'Joseph Ratzinger',fr,Vatikan,#58b8e8,#58b8e8,1,0.238018838372
'Michael Cohen',fr,USA,#18e8e8,#18e8e8,2,0.237648911794
'Justin Trudeau',fr,Kanada,#55ee33,#55ee33,3,0.237319103729
'Wolfgang Kubicki',fr,Deutschland,#1818e8,#1818e8,1,0.236949998009
'Reed Richards',fr,unknown,#111111,#111111,1,0.236837359268
'John Paul II',fr,Vatikan,#58b8e8,#58b8e8,1,0.236790276367
'Robert Habeck',fr,Deutschland,#1818e8,#1818e8,3,0.236752309866
'Harry Belafonte',fr,USA,#18e8e8,#18e8e8,1,0.236547611411
'Martin Scorsese',fr,USA,#18e8e8,#18e8e8,1,0.236096036506
'Stephen Hawking',fr,UK,#e838e8,#e838e8,1,0.236015281406
'Nadja Abd el Farrag',fr,Deutschland,#1818e8,#1818e8,1,0.233825497678
'Lee Hsien Loong',fr,Singapur,#cc4488,#cc4488,2,0.233609797535
'Georg Bätzing',fr,Deutschland,#1818e8,#1818e8,1,0.233197906526
'Charles Michel',fr,EU,#88cc44,#88cc44,2,0.233118159004
'Joschka Fischer',fr,Deutschland,#1818e8,#1818e8,1,0.232448751378
'Pietro Lombardi',fr,Deutschland,#1818e8,#1818e8,1,0.232433602606
'Phoebe Bridgers',fr,unknown,#111111,#111111,1,0.229684893207
'Selenskyj',fr,Ukraine,#e818e8,#e818e8,1,0.228601032633
'Peter Urban',fr,Deutschland,#1818e8,#1818e8,1,0.228356903745
'Napoleon Bonaparte',fr,Frankreich,#e8e808,#e8e808,1,0.228008432683
'Jacinda Ardern',fr,Neuseeland,#1818e8,#1818e8,1,0.227560529978
'Matthias Müller',fr,Deutschland,#1818e8,#1818e8,1,0.226398095213
'Trevian Kutti',fr,unknown,#111111,#111111,1,0.226381837337
'Don Lemon',fr,USA,#18e8e8,#18e8e8,1,0.226289709375
'Steve Doocy',fr,unknown,#111111,#111111,1,0.226101835999
'Leah McSweeney',fr,unknown,#111111,#111111,1,0.225991347630
'Jacoby Brissett',fr,unknown,#111111,#111111,1,0.225899398911
'Billionaire Bunker',fr,unknown,#111111,#111111,1,0.225386923480
'Petro Poroshenko',fr,unknown,#111111,#111111,1,0.224986234320
'Matty Healy',fr,unknown,#111111,#111111,1,0.224772322077
'Jessica Biel',fr,unknown,#111111,#111111,1,0.224708028676
'Pippa Middleton',fr,UK,#e838e8,#e838e8,1,0.224269795531
'Isaac Newton',fr,UK,#e838e8,#e838e8,1,0.224141114470
'Eva Kaili',fr,EU,#88cc44,#88cc44,2,0.224105966235
'Jens Spahn',fr,Deutschland,#1818e8,#1818e8,2,0.223666279965
'Michael Walzer',fr,USA,#18e8e8,#18e8e8,1,0.223109522518
'Péter Szijjártó',fr,Ungarn,#111111,#111111,1,0.222353222879
'Alice Weidel',fr,Deutschland,#1818e8,#1818e8,3,0.222165820193
'Chuck Todd',fr,USA,#18e8e8,#18e8e8,1,0.222039360067
'Mary Lou McDonald',fr,Irland,#4488cc,#4488cc,1,0.221852656250
'Detlef Garbe',fr,Deutschland,#1818e8,#1818e8,1,0.221852656250
'Ayatollah Chamenei',fr,Iran,#1144ee,#1144ee,1,0.221852656250
'Kemal Kilicdaroglu',fr,Türkei,#66bb22,#66bb22,1,0.221791217636
'Amin Nasser',fr,SaudiArabien,#22bb66,#22bb66,2,0.220430336016
'Nancy Faeser',fr,Deutschland,#1818e8,#1818e8,3,0.219091180109
'Bill Gates',fr,USA,#18e8e8,#18e8e8,3,0.219071032449
'Penny Mordaunt',fr,UK,#e838e8,#e838e8,1,0.218833563376
'Barbara Sturm',fr,Deutschland,#1818e8,#1818e8,1,0.218171120851
'Michael Kahle',fr,Deutschland,#1818e8,#1818e8,1,0.217415603125
'Jens Stoltenberg',fr,Norwegen,#e818e8,#e818e8,2,0.216929738462
'Frank-Walter Steinmeier',fr,Deutschland,#1818e8,#1818e8,3,0.216832933149
'Alexander von Humboldt',fr,Deutschland,#1818e8,#1818e8,1,0.216768833216
'Rainer Maria Woelki',fr,Deutschland,#1818e8,#1818e8,1,0.216651872609
'Derek Chauvin',fr,unknown,#111111,#111111,1,0.216381897404
'Recep Tayyip Erdoğan',fr,Türkei,#66bb22,#66bb22,2,0.216266069377
'Adolf Hitler',fr,Deutschland,#1818e8,#1818e8,1,0.215102865522
'Herbert Diess',fr,Deutschland,#1818e8,#1818e8,1,0.214900351293
'John Kerry',fr,USA,#18e8e8,#18e8e8,2,0.214092510366
'Tamim bin Hamad Al Thani',fr,Katar,#33ffbb,#33ffbb,2,0.212958869968
'Michael Sandel',fr,USA,#18e8e8,#18e8e8,2,0.212387524751
'Tamim bin Hamad Al-Thani',fr,Katar,#33ffbb,#33ffbb,2,0.212115772066
'Rafael Grossi',fr,UN,#e888e8,#e888e8,1,0.209500071238
'Mukesh Ambani',fr,Indien,#995533,#995533,2,0.208911164236
'Christine Lagarde',fr,EU,#88cc44,#88cc44,3,0.208668964711
